1	N	48
0	J	48
1	R	48
2	N	49
1	W	49
2	R	49
3	N	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
1	W	74
4	R	74
5	N	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	337
4	R	337
4	W	337
0	R	338
4	J	363
4	R	363
4	W	363
0	R	363
4	J	379
4	R	379
4	W	380
0	R	380
4	J	405
4	R	405
4	W	405
0	R	405
4	J	419
4	R	419
4	W	419
0	R	419
4	J	445
4	R	445
4	W	445
0	R	445
4	J	677
4	R	677
4	W	677
0	R	677
4	J	695
4	R	695
4	W	695
0	R	695
4	J	708
4	R	708
4	W	708
0	R	708
4	J	720
4	R	720
4	W	720
0	R	720
4	J	737
4	R	737
4	W	737
0	R	737
4	J	750
4	R	750
4	W	750
0	R	750
4	J	770
4	R	770
4	W	770
0	R	770
4	J	770
4	R	770
4	W	770
0	R	770
4	J	789
4	R	789
4	W	789
0	R	789
4	J	813
4	R	813
4	W	813
0	R	813
4	J	826
4	R	826
4	W	826
0	R	826
4	J	851
4	R	851
4	W	851
0	R	851
4	J	889
4	R	889
4	W	889
0	R	889
4	J	914
4	R	914
4	W	914
0	R	914
4	J	918
4	R	918
4	W	918
0	R	918
4	J	936
4	R	936
4	W	936
0	R	937
4	J	943
4	R	943
4	W	944
0	R	944
4	J	958
4	R	958
4	W	958
0	R	958
4	J	964
4	R	964
4	W	969
0	R	969
4	J	984
4	R	984
4	W	984
0	R	984
4	J	1063
4	R	1063
4	W	1063
0	R	1063
4	J	1088
4	R	1088
4	W	1089
0	R	1089
4	J	1137
4	R	1137
6	N	1138
4	W	1139
6	R	1139
7	N	1141
8	N	1142
9	N	1143
10	N	1144
11	N	1145
6	W	1145
11	R	1145
11	J	1160
10	R	1160
10	J	1175
9	R	1175
9	J	1190
8	R	1190
8	W	1190
7	R	1190
7	J	1205
11	R	1205
11	J	1220
10	R	1220
10	J	1235
9	R	1235
9	J	1250
7	R	1250
7	J	1265
11	R	1265
11	J	1280
10	R	1280
8	J	1295
10	J	1295
8	R	1295
8	W	1295
9	R	1295
9	J	1310
7	R	1310
7	J	1325
11	R	1325
11	J	1340
10	R	1340
10	J	1355
9	R	1355
9	J	1370
7	R	1370
7	J	1385
11	R	1385
8	J	1400
11	J	1400
8	R	1400
8	W	1400
10	R	1400
10	J	1415
9	R	1415
9	J	1430
7	R	1430
7	J	1445
11	R	1445
11	J	1460
10	R	1460
10	J	1475
9	R	1475
9	J	1490
7	R	1490
8	J	1505
7	J	1505
8	R	1505
8	W	1505
11	R	1505
11	J	1520
10	R	1520
10	W	1530
9	R	1530
9	W	1540
7	R	1540
7	J	1555
11	R	1555
11	J	1570
7	R	1570
7	J	1585
11	R	1585
11	J	1600
7	R	1600
8	J	1615
7	J	1615
8	R	1615
8	W	1615
11	R	1615
11	J	1630
7	R	1630
10	J	1645
9	J	1645
7	J	1645
10	R	1645
10	W	1645
9	R	1645
9	J	1671
11	R	1671
11	J	1686
9	R	1686
9	J	1701
7	R	1701
8	J	1716
7	J	1716
8	R	1716
8	W	1716
11	R	1716
11	J	1731
9	R	1731
10	J	1746
9	J	1746
10	R	1746
10	W	1746
7	R	1746
7	J	1761
11	R	1761
11	J	1776
9	R	1776
9	J	1791
7	R	1791
7	J	1806
11	R	1806
8	J	1821
11	J	1821
8	R	1821
8	W	1821
9	R	1821
9	J	1836
7	R	1836
10	J	1851
7	J	1851
10	R	1851
10	W	1851
11	R	1851
11	J	1866
9	R	1866
9	W	1880
7	R	1880
7	J	1895
11	R	1895
11	J	1910
7	R	1910
8	J	1925
7	J	1925
8	R	1925
8	W	1925
11	R	1925
11	J	1940
7	R	1940
10	J	1955
7	J	1955
